uid,name,city,state,country,latitude,longitude,url
571,All Saints Of North America Mission,"DECATUR, GA",GA,United States,33.791248,-84.2984978,https://directory.stinnocentpress.com/viewparish.cgi?Uid=571&lang=en
426,Ascension Monastery,"Dalton, GA",GA,United States,34.6278757713809,-84.9555158615112,https://directory.stinnocentpress.com/viewparish.cgi?Uid=426&lang=en
11,St. Mary of Egypt Orthodox Church,"Roswell, GA",GA,United States,34.0611026,-84.4134913,https://directory.stinnocentpress.com/viewparish.cgi?Uid=11&lang=en
134,Holy Theotokos of Iveron Russian Orthodox Church,"Kailua, HI",HI,United States,21.4016551,-157.7422015,https://directory.stinnocentpress.com/viewparish.cgi?Uid=134&lang=en
565,Our Lady of the Angels Hermitage,"Kapaau, HI",HI,United States,20.2260076,-155.7976662,https://directory.stinnocentpress.com/viewparish.cgi?Uid=565&lang=en
67,St. Seraphim of Sarov Orthodox Church,"Boise, ID",ID,United States,43.6298008206483,-116.226596832275,https://directory.stinnocentpress.com/viewparish.cgi?Uid=67&lang=en
613,ORPR Youth Camp,", IL",IL,United States,40.6331249,-89.3985283,https://directory.stinnocentpress.com/viewparish.cgi?Uid=613&lang=en
559,Holy Dormition of the Theotokos Church,"Benld, IL",IL,United States,39.0951343,-89.8020224,https://directory.stinnocentpress.com/viewparish.cgi?Uid=559&lang=en
252,St. Innocent of Moscow Russian Orthodox Church,"Carol Stream, IL",IL,United States,41.8882213455352,-88.1432139873505,https://directory.stinnocentpress.com/viewparish.cgi?Uid=252&lang=en
402,"Diocesan Administration, Diocese of Chicago and Mid-America","Des Plaines, IL",IL,United States,42.0202809,-87.8944182,https://directory.stinnocentpress.com/viewparish.cgi?Uid=402&lang=en
52,Holy Virgin Protection Cathedral,"Des Plaines, IL",IL,United States,42.0200792698669,-87.894401550293,https://directory.stinnocentpress.com/viewparish.cgi?Uid=52&lang=en
614,St. Nicholas Church,"McHenry, IL",IL,United States,42.3295485,-88.2693095,https://directory.stinnocentpress.com/viewparish.cgi?Uid=614&lang=en
78,St. Ioasaph of Belgorod Russian Church,"Muddy, IL",IL,United States,37.7653,-88.5168,https://directory.stinnocentpress.com/viewparish.cgi?Uid=78&lang=en
487,Holy Transfiguration Orthodox Church,"Peoria, IL",IL,United States,40.763297,-89.6024452,https://directory.stinnocentpress.com/viewparish.cgi?Uid=487&lang=en
136,St. Vladimir Church,"Rock City, IL",IL,United States,42.4133485,-89.468171,https://directory.stinnocentpress.com/viewparish.cgi?Uid=136&lang=en
548,St. Paisius Mission Parish,"Fort Wayne, IN",IN,United States,41.0571798,-85.1000111,https://directory.stinnocentpress.com/viewparish.cgi?Uid=548&lang=en
138,Holy Virgin Protection Orthodox Church,"Goshen, IN",IN,United States,41.6023826796991,-85.8487129211426,https://directory.stinnocentpress.com/viewparish.cgi?Uid=138&lang=en
626,Holy Resurrection Orthodox Church,"Indianapolis , IN",IN,United States,39.9473712,-86.1439501,https://directory.stinnocentpress.com/viewparish.cgi?Uid=626&lang=en
483,St. Joseph of Arimathea Western-Rite Stavropegial Orthodox Church,"La Porte, IN",IN,United States,41.6228197,-86.7138396,https://directory.stinnocentpress.com/viewparish.cgi?Uid=483&lang=en
